Z,N,A,EL,mass_excess_keV_value,mass_excess_unc_keV_value,mass_excess_keV_flag,BE_per_A_keV_value,BE_per_A_unc_keV_value,BE_per_A_keV_flag,beta_decay_energy_keV_value,beta_decay_energy_unc_keV_value,S_2n_value,S_2n_unc_value,S_2n_flag,S_2p_value,S_2p_unc_value,S_2p_flag,Q_alpha_value,Q_alpha_unc_value,Q_alpha_flag,S_n_value,S_n_unc_value,S_n_flag,S_p_value,S_p_unc_value,S_p_flag,Total_BE_keV,data_quality,fully_experimental
55,76,131,Cs,-88055.574,0.177,experimental,8415.0317,0.0014,experimental,-1376.6158,0.4515,16699.1602,4.5566,experimental,14126.3401,3.1584,experimental,-1497.2732,3.6252,experimental,9227.1376,8.3586,experimental,5464.0708,0.1773,experimental,1102369.1527,high,True
56,75,131,Ba,-86678.958,0.415,experimental,8398.5511,0.0032,experimental,-2909.6936,27.9479,17760.7287,10.508,experimental,12560.8306,0.4153,experimental,-782.991,4.1092,experimental,7493.5,0.3,experimental,7068.1748,8.367,experimental,1100210.1941,high,True
57,74,131,La,-83769.265,27.945,experimental,8370.3676,0.2133,experimental,-4060.8167,43.0918,18588.3597,35.1633,experimental,10848.1568,28.3133,experimental,45.8464,28.496,experimental,10213.2084,38.1328,experimental,3801.4593,27.9463,experimental,1096518.1556,high,True
58,73,131,Ce,-79708.448,32.802,experimental,8333.3969,0.2504,experimental,-5407.7842,55.4462,19563.5801,43.0918,experimental,9225.5244,34.443,experimental,684.5912,34.7127,experimental,8356.8529,43.0918,experimental,5370.0448,41.8234,experimental,1091674.9939,high,True
59,72,131,Pr,-74300.664,46.995,experimental,8286.1439,0.3587,experimental,-6532.6235,53.0809,20669.7341,55.6511,experimental,7555.0648,51.6147,experimental,1170.5368,53.7079,experimental,11196.5174,79.6214,experimental,2166.7216,54.6759,experimental,1085484.8509,high,True
60,71,131,Nd,-67768.04,27.517,experimental,8230.3045,0.2101,experimental,-7998.0,202.0,21536.0,204.0,estimated,6058.4784,39.2188,experimental,1786.3876,39.8879,experimental,9243.119,39.2188,experimental,3881.547,69.9159,experimental,1078169.8895,mixed,True
47,85,132,Ag,-34400.0,500.0,estimated,8053.0,4.0,estimated,16065.0,504.0,4645.0,656.0,estimated,,,not_calculable,-9485.0,583.0,estimated,1721.0,707.0,estimated,15949.0,583.0,estimated,1062996.0,low,False
48,84,132,Cd,-50465.429,60.068,experimental,8169.1421,0.4551,experimental,11946.1243,84.9236,5490.4679,64.0928,experimental,32313.0,306.0,estimated,-8500.0,504.0,estimated,3324.987,63.0732,experimental,17004.0,504.0,estimated,1078326.7572,high,True
49,83,132,In,-62411.554,60.033,experimental,8253.7162,0.4548,experimental,14135.0,60.0,8647.66,60.0592,experimental,31092.0,428.0,estimated,-10126.0,306.0,estimated,2458.5024,60.073,experimental,14488.7642,63.0398,experimental,1089490.5384000002,high,True
50,82,132,Sn,-76546.554,1.976,experimental,8354.8726,0.015,experimental,3088.728,3.1606,12556.973,2.7224,experimental,30006.8982,22.443,experimental,-11733.2244,6.7286,experimental,7353.2928,4.1249,experimental,15811.1554,2.961,experimental,1102843.1832,high,True
