Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
40,67,107,Zr,-54020.0,8284.0,8704.0,30408.0,3342.0,15519.0,-9165.0,9704.0,,,,,,,40,67,107,10,42,17,15,0,1,25,0
41,66,107,Nb,-63723.805,8367.0898,9950.8942,27732.0,5592.4444,12263.0,-7691.6869,8821.1703,,,,,,,41,66,107,9,41,16,16,1,0,25,0
42,65,107,Mo,-72544.975,8442.219,11356.8234,25664.6433,4488.2898,13631.2677,-7160.8972,6204.9921,,,,,,,42,65,107,8,40,15,17,0,1,23,0
43,64,107,Tc,-78749.967,8492.8979,12606.2997,23412.3625,7045.0325,9910.9349,-6146.2153,5112.5985,,,,,,,43,64,107,7,39,14,18,1,0,21,0
44,63,107,Ru,-83862.565,8533.3676,14070.6587,21109.72,5610.631,11375.284,-5333.1499,3001.1457,,,,,,,44,63,107,6,38,13,19,0,1,19,0
45,62,107,Rh,-86863.711,8554.104,15155.0773,19155.35,8572.3729,7829.4297,-4684.7068,1508.9427,,,,,,,45,62,107,5,37,12,20,1,0,17,0
46,61,107,Pd,-88372.654,8560.8946,16097.3852,17016.0531,6536.429,9298.9686,-3530.4021,34.0458,,,,,,,46,61,107,4,36,11,21,0,1,15,0
47,60,107,Ag,-88406.7,8553.9012,17478.4873,15133.3717,9535.6183,5788.1278,-2799.91,-1416.3741,,,,,,,47,60,107,3,35,10,22,1,0,13,0
48,59,107,Cd,-86990.325,8533.3524,18799.1122,13150.3628,7929.4907,7336.8971,-1958.2611,-3423.6586,,,,,,,48,59,107,2,34,9,23,0,1,11,0
49,58,107,In,-83566.667,8494.0439,20068.7209,11073.7607,11029.8353,3723.4852,-1188.8804,-5054.4281,,,,,,,49,58,107,1,33,8,24,1,0,9,0
50,57,107,Sn,-78512.239,8439.4946,21316.8735,8756.3315,9229.8593,5193.0601,-285.5283,-7858.9903,,,,,,,50,57,107,0,32,7,25,0,1,7,0
51,56,107,Sb,-70653.248,8358.7344,22780.3935,5590.6085,12251.2653,588.5219,1554.2327,-9996.0,,,,,,,51,56,107,1,31,6,26,1,0,7,0
52,55,107,Te,-60657.0,8258.0,23988.0,1897.0,10509.0,1473.0,4010.3533,-11227.0,,,,,,,52,55,107,2,30,5,27,0,1,7,0
53,54,107,I,-49430.0,8146.0,,-8.0,14201.0,-1501.0,4816.0,,,,,,,,53,54,107,3,29,4,28,1,0,7,0
40,68,108,Zr,-50950.0,8253.0,8343.0,31227.0,5001.0,16269.0,-9615.0,8595.0,,,,,521.56,2.991453971895612,40,68,108,10,42,18,14,0,0,24,1
41,67,108,Nb,-59545.198,8325.6604,9485.1555,28333.0,3892.7111,12814.0,-7890.0,11204.0998,,,,,,,41,67,108,9,41,17,15,1,1,24,0
